16-Apr-14,The Amazing Spider-Man 2,200000000,202853933,708996336,508996336.0
23-Jun-11,Cars 2,200000000,191450875,560155383,360155383.0
7-Jul-21,Black Widow,200000000,183651655,379751131,179751131.0
31-Jul-19,Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,760732926,560732926.0
20-May-21,F9: The Fast Saga,200000000,173005945,719360510,519360510.0
17-Dec-10,Tron: Legacy,200000000,172062763,399866199,199866199.0
19-Oct-22,Black Adam,200000000,168152111,390323855,190323855.0
12-Nov-09,2012,200000000,166112167,757677748,557677748.0
3-Nov-21,Eternals,200000000,164870264,401731759,201731759.0
14-Nov-18,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,648455339,448455339.0
14-Jun-23,Elemental,200000000,154426697,486930151,286930151.0
21-May-09,Terminator Salvation,200000000,125322469,365491792,165491792.0
15-Jun-22,Lightyear,200000000,118307188,218768299,18768299.0
28-Jul-21,Jungle Cruise,200000000,116987516,210469803,10469803.0
17-Jun-11,Green Lantern,200000000,116601172,219535492,19535492.0
13-Jun-23,The Flash,200000000,108133313,266516138,66516138.0
6-Apr-22,Fantastic Beasts: The Secrets of Dumbledore,200000000,95850844,404560145,204560145.0
28-May-10,Prince of Persia: Sands of Time,200000000,90759676,336359676,136359676.0
5-Jun-19,Dark Phoenix,200000000,65845974,246356895,46356895.0
28-Feb-20,Onward,200000000,61555145,133357601,-66642399.0
19-Oct-22,Killers of the Flower Moon,200000000,53929037,120722636,-79277364.0
16-Dec-20,Wonder Woman 1984,200000000,46801036,166360232,-33639768.0
4-Sep-20,Mulan,200000000,0,69973540,-130026460.0
2-Jul-21,The Tomorrow War,200000000,0,19220000,-180780000.0
13-Jul-22,The Gray Man,200000000,0,451178,-199548822.0
29-Jun-11,Transformers: Dark of the Moon,195000000,352390543,1123794079,928794079.0
6-Jun-23,Transformers: Rise of the Beasts,195000000,157066392,437669281,242669281.0
2-Jun-17,The Mummy,195000000,80101125,409953905,214953905.0
27-Feb-13,Jack the Giant Slayer,195000000,65187603,197687603,2687603.0
1-Apr-15,Furious 7,190000000,353007020,1511986364,1321986364.0
16-May-13,Star Trek Into Darkness,190000000,228778661,467381584,277381584.0
19-Jun-13,World War Z,190000000,202706711,531861650,341861650.0
10-May-13,The Great Gatsby,190000000,144840419,353497733,163497733.0
6-Nov-09,Disney’s A Christmas Carol,190000000,137855863,315709697,125709697.0
11-Jul-13,Pacific Rim,190000000,101802906,411002906,221002906.0
16-Dec-21,The Matrix Resurrections,190000000,40463197,159197755,-30802245.0
25-Nov-15,The Good Dinosaur,187500000,123087120,333771037,146271037.0
2-May-08,Iron Man,186000000,318604126,585171547,399171547.0
11-Jul-08,The Dark Knight,185000000,533720947,998725484,813725484.0
22-May-08,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,601635413.0
21-Jun-12,Brave,185000000,237282182,554606532,369606532.0
23-Feb-17,Kong: Skull Island,185000000,168052812,561072059,376072059.0
21-Jul-16,Star Trek Beyond,185000000,158848340,335673708,150673708.0
17-Oct-19,Maleficent: Mistress of Evil,185000000,113929605,489181357,304181357.0
29-Sep-17,Blade Runner 2049,185000000,92054159,257767797,72767797.0
25-Oct-19,Terminator: Dark Fate,185000000,62253077,250367666,65367666.0
28-Jul-21,The Suicide Squad,185000000,55817425,167097737,-17902263.0
